"idpunto","lat","lon","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","WGRU_CODE"
2149,46.79819026,12.09018753,1.86183714,0.814060967,0.03861549,NA,NA,NA,NA,NA,"Fs"
2235,46.79296642,11.63998849,1.237922785,0.293265078,0.10969639,NA,NA,NA,NA,NA,"Fi"
2243,46.78765653,11.73777455,0,1.791702964,0.882346443,NA,NA,NA,NA,NA,"Fs"
2250,46.78860164,11.82745718,0,0,0.544781592,NA,NA,NA,NA,NA,"FT"
2345,46.78010268,11.43373156,0.176706245,1.229480985,0.05353396,0.289983115,15.72145631,126.1973583,0,0,"Fs"
2360,46.78342462,11.64000214,0,0,0.0665766,NA,NA,NA,NA,NA,"Lh"
2363,46.78321553,11.67027482,10.62164651,0.092513993,0.662141419,NA,NA,NA,NA,NA," "
2368,46.77989046,11.74033233,0,1.98856631,0.128965785,NA,NA,NA,NA,NA,"Fs"
2387,46.78114949,11.98356945,0,0.341814158,0.047216062,NA,NA,NA,NA,NA,"Fi"
2402,46.77946483,12.17759224,0,1.799689362,0.130311613,NA,NA,NA,NA,NA,"Fi"
2465,46.77096329,11.2037625,0.062725121,0.159806651,0.735710522,NA,NA,NA,NA,NA,"Ei"
2482,46.7669246,11.42255728,0.521440604,1.368762794,0.997057772,NA,NA,NA,NA,NA,"Fs"
2647,46.76490746,11.65786453,4.091917476,0.285410594,0,NA,NA,NA,NA,NA,"Ei"
2660,46.76276567,11.83145385,0,2.85944598,1.077335689,NA,NA,NA,NA,NA,"Zi"
2667,46.75767469,11.91672801,0,1.592966088,0.139253178,NA,NA,NA,NA,NA,"Fs"
2675,46.76313606,12.02039642,0.184740934,1.047575384,0.00069905,NA,NA,NA,NA,NA,"Fi"
2773,46.75300175,11.38207063,0,0.859704003,0.489805398,NA,NA,NA,NA,NA,"Fs"
2831,46.75683533,12.14730554,0,0.18302988,1.913613862,NA,NA,NA,NA,NA,"FT"
2835,46.75433654,12.19872913,2.94460197,1.478986562,0.134807558,NA,NA,NA,NA,NA,"Fs"
2916,46.74182361,11.30643903,0.111608195,0.453392256,0.018330044,NA,NA,NA,NA,NA,"Fs"
2948,46.74202109,11.72545353,0,1.99665051,3.7095683,NA,NA,NA,NA,NA,"FT"
2975,46.74344379,12.07365559,0,5.643073358,8.8e-05,NA,NA,NA,NA,NA,"Fs"
3007,46.73081221,10.5185684,0.195717328,0.33527713,0.251462356,NA,NA,NA,NA,NA,"Fs"
3028,46.73231122,10.8034772,1.001505725,1.629866675,0.050749963,NA,NA,NA,NA,NA,"Zi"
3062,46.73199101,11.24672123,0,0.832112481,2.725222863,NA,NA,NA,NA,NA,"Zi"
3114,46.73719045,11.92874381,0,0,2.422475306,NA,NA,NA,NA,NA,"Fs"
3126,46.73217515,12.08163605,0.219076773,1.414113246,0,NA,NA,NA,NA,NA,"Fs"
3204,46.72644987,11.12283488,0,0.44380017,0,NA,NA,NA,NA,NA,"Fs"
3211,46.72562908,11.22096493,0.981183449,0.915217191,0.33819701,NA,NA,NA,NA,NA,"Ftb"
3228,46.7242784,11.43324134,0,0.395058258,0.031568717,NA,NA,NA,NA,NA,"Fs"
3266,46.72732756,11.93495151,0.69145705,0.283508701,0.049078225,NA,NA,NA,NA,NA,"Fs"
3283,46.72710982,12.15624124,0.726754434,2.196334653,0.110473911,NA,NA,NA,NA,NA,"FT"
3434,46.71312524,12.17210811,0.459777544,0.318037992,1.033144828,NA,NA,NA,NA,NA,"Fs"
3485,46.71177537,10.87506418,0,0.180722967,0.642420735,NA,NA,NA,NA,NA,"Fs"
3486,46.70411589,10.89033542,1.120553278,1.912324748,0,NA,NA,NA,NA,NA,"Fs"
3519,46.70990898,11.31480846,0,0,0,NA,NA,NA,NA,NA,"Fs"
3582,46.70414488,12.14487724,0.695277544,0.492116237,0.188111334,NA,NA,NA,NA,NA,"FT"
