X,idpunto,WGRU_CODE,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,elevation,slope,aspect,ele_cat,slope_cat,asp_cat
60,2149,Fs,1.86183714,0.814060967,0.03861549,NA,NA,NA,NA,NA,1835,22,322,6,3,8
61,2235,Fi,1.237922785,0.293265078,0.10969639,NA,NA,NA,NA,NA,1442,17,137,5,2,4
62,2243,Fs,0,1.791702964,0.882346443,NA,NA,NA,NA,NA,1726,18,343,6,2,1
63,2250,FT,0,0,0.544781592,NA,NA,NA,NA,NA,1222,25,45,5,3,2
64,2345,Fs,0.176706245,1.229480985,0.05353396,0.289983115,15.72145631,126.1973583,0,0,1711,27,335,6,3,8
65,2360,Lh,0,0,0.0665766,NA,NA,NA,NA,NA,913,26,172,4,3,5
66,2363,Ei,10.62164651,0.092513993,0.662141419,NA,NA,NA,NA,NA,735,18,68,3,2,2
67,2368,Fs,0,1.98856631,0.128965785,NA,NA,NA,NA,NA,1826,20,161,6,2,5
68,2387,Fi,0,0.341814158,0.047216062,NA,NA,NA,NA,NA,1180,25,260,4,3,7
69,2402,Fi,0,1.799689362,0.130311613,NA,NA,NA,NA,NA,1436,24,157,5,3,4
70,2465,Ei,0.062725121,0.159806651,0.735710522,NA,NA,NA,NA,NA,799,16,55,3,2,2
71,2482,Fs,0.521440604,1.368762794,0.997057772,NA,NA,NA,NA,NA,1859,30,267,6,3,7
72,2647,Ei,4.091917476,0.285410594,0,NA,NA,NA,NA,NA,758,12,297,3,2,8
73,2660,Zi,0,2.85944598,1.077335689,NA,NA,NA,NA,NA,1810,35,15,6,4,1
74,2667,Fs,0,1.592966088,0.139253178,NA,NA,NA,NA,NA,1453,25,3,5,3,1
75,2675,Fi,0.184740934,1.047575384,0.00069905,NA,NA,NA,NA,NA,1036,7,301,4,1,8
76,2773,Fs,0,0.859704003,0.489805398,NA,NA,NA,NA,NA,1871,19,304,6,2,8
77,2831,FT,0,0.18302988,1.913613862,NA,NA,NA,NA,NA,1541,20,13,6,2,1
78,2835,Fs,2.94460197,1.478986562,0.134807558,NA,NA,NA,NA,NA,1772,11,166,6,2,5
79,2916,Fs,0.111608195,0.453392256,0.018330044,NA,NA,NA,NA,NA,1734,25,164,6,3,5
80,2948,FT,0,1.99665051,3.7095683,NA,NA,NA,NA,NA,1342,33,84,5,4,3
81,2975,Fs,0,5.643073358,8.80E-05,NA,NA,NA,NA,NA,1725,14,355,6,2,1
82,3007,Fs,0.195717328,0.33527713,0.251462356,NA,NA,NA,NA,NA,1931,30,100,6,3,3
83,3028,Zi,1.001505725,1.629866675,0.050749963,NA,NA,NA,NA,NA,1847,28,41,6,3,2
84,3062,Zi,0,0.832112481,2.725222863,NA,NA,NA,NA,NA,1916,18,299,6,2,8
85,3114,Fs,0,0,2.422475306,NA,NA,NA,NA,NA,1756,21,156,6,3,4
86,3126,Fs,0.219076773,1.414113246,0,NA,NA,NA,NA,NA,1934,24,21,6,3,1
87,3204,Fs,0,0.44380017,0,NA,NA,NA,NA,NA,1634,18,99,6,2,3
88,3211,Ftb,0.981183449,0.915217191,0.33819701,NA,NA,NA,NA,NA,1164,36,288,4,4,7
89,3228,Fs,0,0.395058258,0.031568717,NA,NA,NA,NA,NA,1557,20,313,6,2,8
90,3266,Fs,0.69145705,0.283508701,0.049078225,NA,NA,NA,NA,NA,1468,20,252,5,2,7
91,3283,FT,0.726754434,2.196334653,0.110473911,NA,NA,NA,NA,NA,1548,20,351,6,2,1
92,3434,Fs,0.459777544,0.318037992,1.033144828,NA,NA,NA,NA,NA,1665,30,35,6,3,2
93,3485,Fs,0,0.180722967,0.642420735,NA,NA,NA,NA,NA,1536,41,10,6,5,1
94,3486,Fs,1.120553278,1.912324748,0,NA,NA,NA,NA,NA,1685,18,71,6,2,3
95,3519,Fs,0,0,0,NA,NA,NA,NA,NA,1850,23,323,6,3,8
96,3582,FT,0.695277544,0.492116237,0.188111334,NA,NA,NA,NA,NA,1516,16,75,6,2,3
