"","idpunto","lat","lon","WGRU_CODE","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","elevation","slope","aspect","ele_cat","slope_cat","asp_cat"
"203",8036,46.51250124,11.38315543,"Bu",7.599688245,0.6076731,1.322296538,NA,NA,NA,NA,NA,989,23,106,4,3,3
"204",8037,46.51308682,11.38931892,"Bu",1.534931522,0,0.30150697,NA,NA,NA,NA,NA,830,25,158,3,3,5
"205",8289,46.50415362,10.89376076,"Fs",1.51390948,1.434069752,0,NA,NA,NA,NA,NA,1783,27,127,6,3,4
"206",8327,46.50444788,11.38979179,"MH",4.849630401,0.114284432,0.042408688,0.226258911,2.749178304,13.2656704,47.0883583,31.79171087,661,26,283,3,3,7
"207",8333,46.49777028,11.46954352,"Bu",1.102958423,0.117042093,3.63e-05,NA,NA,NA,NA,NA,783,24,288,3,3,7
"208",8607,46.48973145,11.25534047,"MH",8.015445365,0.232354902,0.507165514,NA,NA,NA,NA,NA,344,17,53,2,2,2
"209",8621,46.49085856,11.44653546,"MH",0.206729466,0.009009888,0.049864779,NA,NA,NA,NA,NA,553,35,274,2,4,7
"210",8622,46.48882644,11.45696799,"Bu",1.891942082,0.019884741,0.609267241,NA,NA,NA,NA,NA,660,29,2,3,3,1
"211",8866,46.48544467,10.8498392,"Fs",1.423342151,1.848032418,0,NA,NA,NA,NA,NA,1910,15,353,7,2,1
"212",8897,46.48011095,11.24529242,"MH",4.98938608,0.552923416,0,NA,NA,NA,NA,NA,559,34,71,2,4,3
"213",8921,46.48214211,11.55661748,"Ki",0.432812268,0.037622862,0.350601429,NA,NA,NA,NA,NA,1407,36,124,5,4,4
"214",9173,46.47661984,11.04532315,"FT",0,0.165153551,0,NA,NA,NA,NA,NA,1664,15,236,6,2,6
"215",9205,46.47046622,11.45321959,"Fi",0,0.21849678,0,NA,NA,NA,NA,NA,1293,12,75,5,2,3
"216",9470,46.46872203,11.05523462,"Ftb",0,3.027565153,0.037291435,0.077136948,0.740205542,2.303368806,47.12966761,70.48711593,1457,28,246,5,3,6
"217",9492,46.46368015,11.34103076,"MH",0.666512057,0.117485366,0.409043599,0.848171039,4.711314268,28.41467598,35.27263074,24.58226213,473,28,267,2,3,7
"218",9496,46.46659334,11.39605961,"Ftb",0,0.655433749,0.11688271,0,3.720019296,19.16955527,29.64434075,33.92955246,919,31,9,4,4,1
"219",9497,46.46518436,11.40216588,"Bu",0,0.786852949,0.198110271,NA,NA,NA,NA,NA,884,31,39,3,4,2
"220",9768,46.45336073,11.04085654,"Ftb",0,0.346318538,0.022516958,NA,NA,NA,NA,NA,1283,15,28,5,2,2
"221",9806,46.45251215,11.54059562,"FT",0,6.502711818,0.668068901,NA,NA,NA,NA,NA,1566,23,14,6,3,1
"222",10086,46.44817328,11.22047402,"Ftb",0,1.142255498,0.839407867,0.035978054,12.73861088,36.84421144,23.01467197,52.83791391,1270,37,64,5,4,2
"223",10401,46.4359934,11.35058996,"MH",0,0,0,NA,NA,NA,NA,NA,449,32,288,2,4,7
"224",10414,46.4356305,11.52135774,"Fi",0.050275135,0.157497426,0.059602249,NA,NA,NA,NA,NA,1424,32,215,5,4,6
"225",10703,46.42528501,11.37347491,"Ftb",0,0.300681873,0.221589531,NA,NA,NA,NA,NA,1353,4,231,5,0,6
"226",10705,46.42629017,11.39870455,"FT",1.97089988,0.762252267,0.507423976,0.521162179,13.88308533,64.11035215,20.6061714,36.26308419,1268,9,359,5,1,1
"227",10979,46.41668785,11.22402124,"Bu",0.902629019,0.987513383,0.516547522,0.515425315,6.977722945,4.190439867,71.47693913,51.23664834,822,30,114,3,3,4
"228",10998,46.4209833,11.47038681,"FT",0.122863243,0.658370058,0.765201127,NA,NA,NA,NA,NA,1330,20,113,5,2,4
"229",11003,46.41525744,11.53024966,"FT",0.568288984,0.306828914,0.021401099,0.050051058,6.812062139,20.25129974,22.71135238,24.21806082,1317,18,273,5,2,7
"230",11274,46.41484575,11.29011439,"Ei",0.417490588,0.943255516,0.392434142,NA,NA,NA,NA,NA,571,9,296,2,1,8
"231",11291,46.40661622,11.5095818,"Ftb",1.190246722,0.746550885,0.458548523,NA,NA,NA,NA,NA,1225,35,235,5,4,6
"232",11292,46.40743039,11.5181934,"FT",0.375137205,0.050198875,0.986893394,NA,NA,NA,NA,NA,1470,32,228,5,4,6
"233",11558,46.40303266,11.21792324,"MH",0.327739558,0.05127893,4.695660535,3.391258952,7.846787727,52.87991527,8.075284551,10.25561138,1255,44,91,5,5,3
"234",11849,46.38887795,11.27179759,"MH",0.624551273,0.082113261,0,NA,NA,NA,NA,NA,382,21,264,2,3,7
"235",11870,46.39332685,11.55041937,"Fs",7.689037403,0.289222732,0.341885524,NA,NA,NA,NA,NA,2020,25,286,8,3,7
"236",12138,46.38223718,11.27189354,"MH",0.931506567,1.603944202,8.45e-06,NA,NA,NA,NA,NA,272,22,266,1,3,7
"237",12156,46.381282,11.50574509,"FT",0,3.009203393,0.061933848,NA,NA,NA,NA,NA,1506,9,338,6,1,8
"238",12157,46.38685526,11.52637088,"FT",0,0.856810184,0.032034469,NA,NA,NA,NA,NA,1554,13,327,6,2,8
"239",12159,46.38222047,11.55307565,"Zi",0.341036355,0.099034919,0.233756177,NA,NA,NA,NA,NA,2040,22,255,8,3,7
"240",12431,46.37699932,11.27899562,"MH",0,0.297980337,0.237888676,NA,NA,NA,NA,NA,488,11,226,2,2,6
"241",12733,46.36966947,11.32721142,"EK",0,0.00937151,0,0.07557608,4.440602386,11.75420636,33.48324793,0,776,43,296,3,5,8
"242",12747,46.36698326,11.51576787,"Fs",0.129563206,2.503370082,0.78633196,NA,NA,NA,NA,NA,1584,6,317,6,1,8
"243",13343,46.34614847,11.37989322,"Bu",0,1.650704479,0.735028693,NA,NA,NA,NA,NA,1126,18,227,4,2,6
"244",13969,46.33176547,11.43324052,"Fs",0,1.831083647,0.070622363,NA,NA,NA,NA,NA,1854,23,196,7,3,5
"245",14577,46.31091209,11.19736172,"Bu",0,0.158108818,0.035598541,NA,NA,NA,NA,NA,778,17,107,3,2,3
"246",14900,46.30222824,11.28554472,"Bu",6.717272993,1.158010597,0,NA,NA,NA,NA,NA,818,28,310,3,3,8
"247",14903,46.30484859,11.32689488,"Ftb",0,0.992255019,0.316513008,NA,NA,NA,NA,NA,1025,22,310,4,3,8
"248",15220,46.29028332,11.25702875,"Bu",0.330278068,0.071561348,0.096940233,NA,NA,NA,NA,NA,755,28,318,3,3,8
"249",15544,46.28053164,11.1835166,"Ftb",1.278053733,1.383740116,0.620130681,NA,NA,NA,NA,NA,1186,3,339,4,0,1
"250",15883,46.27664429,11.24895368,"MH",0.791902059,0,0,NA,NA,NA,NA,NA,559,45,277,2,5,7
"251",17580,46.23415715,11.22832742,"Ftb",1.909502026,0.193061442,0.50747589,NA,NA,NA,NA,NA,568,28,332,2,3,8
