"","x","y","elevation","slope","aspect","depth","sand","silt","clay","tipi_for","Bodenlands","ele_cat","slope_cat","asp_cat","cat_for"
"34",626200.638826818,5175766.09651792,62,2068,33,114612.457275391,0.199000000953674,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"35",617800.638826818,5157766.09651792,52,2050,31,343832.061767578,0.178336203098297,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"36",621100.638826818,5160666.09651792,59,1981,26,4248.55184555054,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"37",620300.638826818,5160066.09651792,128,1995,38,3221.95482254028,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"38",628200.638826818,5177066.09651792,59,2228,29,96242.7597045898,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"39",628900.638826818,5177366.09651792,59,2056,26,129477.981567383,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"40",623100.638826818,5160566.09651792,128,2068,11,5720.98684310913,0.256999999284744,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"41",620100.638826818,5159266.09651792,59,2197,21,235097.885131836,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"42",628900.638826818,5177466.09651792,59,2087,26,133379.516601562,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"43",617500.638826818,5157466.09651792,52,2038,34,303525.115966797,0.185300588607788,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"44",629700.638826818,5177366.09651792,59,2088,29,334898.162841797,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"45",622600.638826818,5160766.09651792,59,2020,18,275751.861572266,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"46",622700.638826818,5160566.09651792,59,2076,18,328918.731689453,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"47",627900.638826818,5175266.09651792,59,1885,29,329535.461425781,0.211999997496605,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"48",620800.638826818,5160266.09651792,59,2075,29,305456.085205078,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"49",619800.638826818,5154666.09651792,59,1952,35,63538.1088256836,0.243290960788727,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"50",625200.638826818,5170166.09651792,62,2061,30,250237.091064453,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"51",627800.638826818,5176566.09651792,62,2112,27,159605.941772461,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"52",627800.638826818,5176666.09651792,62,2164,30,165096.282958984,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"53",617800.638826818,5157866.09651792,52,1989,35,345590.026855469,0.179909750819206,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"54",630300.638826818,5178166.09651792,62,2097,24,251207.855224609,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"55",620300.638826818,5159266.09651792,59,2237,18,210735.931396484,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"56",623100.638826818,5160866.09651792,59,1961,26,334527.496337891,0.256999999284744,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"57",629100.638826818,5176866.09651792,59,1918,27,280343.75,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"58",629600.638826818,5177466.09651792,59,2024,21,317788.482666016,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"59",628000.638826818,5176666.09651792,128,2180,30,199329.467773438,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"60",628200.638826818,5176466.09651792,62,2107,29,176333.221435547,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"61",628300.638826818,5177166.09651792,59,2199,23,126242.668151855,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"62",627900.638826818,5176766.09651792,128,2215,29,185402.099609375,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"63",627400.638826818,5160966.09651792,59,2003,25,340863.983154297,0.222000002861023,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"64",624500.638826818,5161466.09651792,59,1939,34,16091.2170410156,0.186000004410744,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"65",629000.638826818,5160866.09651792,128,2087,27,93787.7655029297,0.222000002861023,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"66",627500.638826818,5160966.09651792,59,2024,32,320260.650634766,0.222000002861023,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"67",620500.638826818,5159266.09651792,128,2288,24,234171.249389648,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"68",629700.638826818,5178066.09651792,62,2130,38,147379.455566406,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"69",628200.638826818,5177266.09651792,128,2263,27,126418.769836426,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"70",621600.638826818,5160566.09651792,59,2035,20,4343.69373321533,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"71",625700.638826818,5175266.09651792,62,2058,36,143214.981079102,0.199000000953674,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"72",629000.638826818,5177466.09651792,59,2059,25,134756.851196289,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"73",619800.638826818,5159566.09651792,59,2086,35,272053.985595703,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"74",628700.638826818,5177166.09651792,128,2077,20,124832.359313965,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"75",622600.638826818,5160566.09651792,59,2051,19,314552.520751953,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"76",629800.638826818,5178366.09651792,128,2224,36,110875.57220459,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"77",628300.638826818,5176966.09651792,62,2168,23,84967.3385620117,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"78",621700.638826818,5160566.09651792,59,2032,17,40651.4053344727,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"79",628300.638826818,5176666.09651792,62,2165,29,120757.949829102,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"80",621200.638826818,5160666.09651792,59,1968,24,355863.128662109,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"81",619900.638826818,5159866.09651792,59,2099,27,311301.513671875,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"82",624500.638826818,5174566.09651792,62,2007,29,121308.174133301,0.24099999666214,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"83",620000.638826818,5160166.09651792,59,1953,33,16714.3211364746,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"84",619900.638826818,5159266.09651792,59,2128,33,244851.196289062,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"85",625700.638826818,5171566.09651792,62,2245,23,245342.849731445,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"86",628300.638826818,5176866.09651792,62,2182,26,87745.231628418,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"87",621400.638826818,5160566.09651792,59,2028,29,353597.839355469,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"88",620700.638826818,5157166.09651792,59,1990,27,292661.773681641,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"89",627600.638826818,5176266.09651792,62,2028,18,171194.01550293,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"90",628600.638826818,5177566.09651792,62,2242,29,124393.112182617,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"91",616300.638826818,5167366.09651792,128,2141,30,351015.106201172,0.20100000500679,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"92",618300.638826818,5157966.09651792,52,1982,34,356303.680419922,0.133000001311302,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"93",630100.638826818,5178466.09651792,62,2100,13,206357.971191406,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"94",626500.638826818,5173166.09651792,59,2172,22,271699.432373047,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"95",629200.638826818,5176566.09651792,62,2028,33,270670.623779297,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"96",629300.638826818,5177866.09651792,128,2096,25,156831.817626953,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"97",628100.638826818,5176666.09651792,128,2199,26,190332.504272461,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"98",620100.638826818,5159566.09651792,59,2227,21,288350.341796875,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"99",628400.638826818,5176566.09651792,62,2080,35,120093.704223633,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"100",627900.638826818,5176666.09651792,62,2158,30,187103.240966797,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"101",628600.638826818,5177266.09651792,59,2129,22,130053.405761719,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"102",625000.638826818,5170866.09651792,59,1980,25,319356.018066406,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"103",614400.638826818,5154766.09651792,128,2174,37,142490.661621094,0.162000000476837,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"104",628200.638826818,5177366.09651792,128,2300,30,132070.587158203,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"105",626100.638826818,5175466.09651792,62,1966,33,133455.459594727,0.199000000953674,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"106",620800.638826818,5156466.09651792,62,2127,28,268452.331542969,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"107",629000.638826818,5161066.09651792,128,2036,22,12524.76978302,0.222000002861023,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"108",628400.638826818,5177166.09651792,62,2172,20,129120.040893555,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"109",620600.638826818,5158366.09651792,59,2089,26,245975.631713867,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"110",620000.638826818,5159266.09651792,59,2166,24,241189.971923828,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"111",629800.638826818,5178466.09651792,62,2240,31,105308.456420898,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"112",629800.638826818,5177466.09651792,128,2060,24,332425.720214844,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"113",625000.638826818,5174866.09651792,62,2062,25,159289.810180664,0.246999993920326,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"114",629200.638826818,5177366.09651792,128,1958,10,147369.979858398,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"115",620000.638826818,5159366.09651792,59,2176,21,252351.226806641,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"116",628800.638826818,5175566.09651792,59,1941,32,322227.630615234,0.211999997496605,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"117",629200.638826818,5176666.09651792,59,2027,38,268063.629150391,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"118",614600.638826818,5155966.09651792,59,2078,28,101352.928161621,0.20100000500679,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"119",628300.638826818,5177266.09651792,128,2231,24,130451.00402832,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"120",614600.638826818,5155266.09651792,128,2016,29,95941.4825439453,0.116812191903591,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"121",620700.638826818,5158566.09651792,62,2212,26,217028.564453125,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"122",626100.638826818,5175766.09651792,62,2127,29,122350.357055664,0.199000000953674,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"123",614700.638826818,5156666.09651792,59,2133,35,98895.2560424805,0.127000004053116,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"124",620000.638826818,5159866.09651792,59,2129,25,335042.633056641,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"125",614500.638826818,5153766.09651792,59,2043,28,38400.3486633301,0.236000001430511,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"126",628400.638826818,5177266.09651792,62,2198,23,129157.928466797,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"127",627700.638826818,5176666.09651792,62,2183,28,165720.657348633,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"128",620200.638826818,5160166.09651792,59,1926,35,880.807638168335,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"129",620400.638826818,5159966.09651792,59,2077,36,359677.185058594,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"130",622900.638826818,5160566.09651792,128,2066,17,16956.3541412354,0.576327860355377,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"131",628800.638826818,5175366.09651792,62,2026,24,301916.442871094,0.211999997496605,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"132",625400.638826818,5171666.09651792,62,2131,27,249550.628662109,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"133",625500.638826818,5171666.09651792,62,2178,27,248191.360473633,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"134",621000.638826818,5160666.09651792,59,1980,23,347969.207763672,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"135",629200.638826818,5178066.09651792,62,2225,31,160754.318237305,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"136",620400.638826818,5159266.09651792,128,2256,20,220376.037597656,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"137",625400.638826818,5171966.09651792,59,2124,33,278868.957519531,0.243000000715256,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"138",620100.638826818,5159866.09651792,128,2135,28,348859.039306641,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"139",628400.638826818,5177066.09651792,128,2152,15,117711.502075195,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"140",629600.638826818,5177666.09651792,59,1993,4,239719.848632812,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"141",621400.638826818,5160666.09651792,59,1985,16,347964.721679688,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"142",615000.638826818,5157466.09651792,59,2072,24,110050.003051758,0.25900000333786,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"143",620000.638826818,5159566.09651792,59,2188,21,281115.661621094,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"144",629200.638826818,5177266.09651792,128,1949,8,263868.011474609,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"145",630200.638826818,5178066.09651792,62,2066,14,272852.05078125,0.272171139717102,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"146",623100.638826818,5173366.09651792,62,2047,28,124836.074829102,0.293999999761581,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
