"id","model.climate.tableName","model.site.soilDepth","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC","model.site.pctClay","model.site.pctSilt","model.site.pctSand"
7421,"climate201",652.172803878784,790.920483445545,644.760381891089,525.392869138614,57.75,23506.1640555,39835.976749,"12","39","49"
7296,"climate201",254.441499710083,790.920483445545,644.760381891089,525.392869138614,57.75,23506.1640555,39835.976749,"12","39","49"
7175,"climate214",255.00351190567,790.920483445545,644.760381891089,525.392869138614,57.75,23506.1640555,39835.976749,"12","39","49"
7055,"climate201",398.915261030197,NA,NA,NA,NA,NA,NA,"6","38","56"
6936,"climate198",411.00001335144,0,1315.875315,691.568311,54.5,23506.1640555,39835.976749,"6","38","56"
6829,"climate155",411.00001335144,507.730734076271,631.361456824153,337.275507095339,54.5,23506.1640555,39835.976749,"6","38","56"
6727,"climate155",411.00001335144,477.036539361819,726.593989965405,411.255299904364,54.5,23506.1640555,39835.976749,"6","38","56"
6624,"climate130",411.00001335144,477.036539361819,726.593989965405,411.255299904364,54.5,23506.1640555,39835.976749,"6","38","56"
6520,"climate146",411.00001335144,477.036539361819,726.593989965405,411.255299904364,54.5,23506.1640555,39835.976749,"6","38","56"
6418,"climate146",282.06467628479,4368.502774,42.305431,167.01717,61,42196.563378,16241.851558,"12","39","49"
6317,"climate146",556.499660015106,NA,NA,NA,NA,NA,NA,"6","38","56"
6218,"climate156",580.999970436096,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
6119,"climate156",293.077260255814,0,254.125071,52.222583,61,42196.563378,16241.851558,"12","39","49"
6024,"climate141",268.368989229202,0,254.125071,52.222583,61,42196.563378,16241.851558,"12","39","49"
5932,"climate142",372.518658638,0,714.460309057143,2852.61716769683,64.25,20818.1194731035,48222.7925941118,"12","39","49"
5846,"climate142",433.531165122986,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118,"12","39","49"
5761,"climate136",372.611373662949,198.197329627824,634.500731284185,2177.83960658264,64.25,20818.1194731035,48222.7925941118,"12","39","49"
5675,"climate136",367.000013589859,198.197329627824,634.500731284185,2177.83960658264,64.25,20818.1194731035,48222.7925941118,"12","39","49"
5589,"climate136",544.628202915192,1543.39095008333,1198.81384768224,764.357939556075,74,107568.698516717,21391.9488673443,"40","39","21"
5503,"climate136",524.993121623993,1543.39095008333,1198.81384768224,764.357939556075,74,107568.698516717,21391.9488673443,"40","39","21"
5413,"climate122",333.201825618744,0,325.572463,127.211159,57.75,107568.698516717,21391.9488673443,"12","39","49"
5321,"climate122",355.441242456436,0,325.572463,127.211159,57.75,107568.698516717,21391.9488673443,"12","39","49"
5226,"climate122",320.298850536346,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443,"12","39","49"
5130,"climate122",317.00000166893,0,325.572463,127.211159,57.75,107568.698516717,21391.9488673443,"12","39","49"
5034,"climate122",414.548635482788,0,325.572463,127.211159,57.75,107568.698516717,21391.9488673443,"12","39","49"
4939,"climate161",370.377540588379,NA,NA,NA,NA,NA,NA,"30","39","31"
4844,"climate128",262.8413438797,NA,NA,NA,NA,NA,NA,"12","39","49"
4749,"climate128",333.212435245514,NA,NA,NA,NA,NA,NA,"30","39","31"
4654,"climate128",360.26206612587,NA,NA,NA,NA,NA,229213.2143,"18","41","41"
4559,"climate128",361.999988555908,NA,NA,NA,NA,NA,229213.2143,"18","41","41"
4459,"climate128",361.999988555908,NA,NA,NA,NA,NA,229213.2143,"18","41","41"
4357,"climate116",285.381555557251,NA,NA,NA,NA,NA,NA,"12","39","49"
4252,"climate116",288.182407617569,NA,NA,NA,NA,NA,NA,"12","39","49"
4150,"climate116",245.713531970978,NA,NA,NA,NA,NA,176215,"18","41","41"
4046,"climate116",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3943,"climate116",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3839,"climate112",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3737,"climate112",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3636,"climate112",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3533,"climate112",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3433,"climate112",241.999998688698,NA,NA,NA,NA,NA,260680,"18","41","41"
3331,"climate112",328.546911478043,NA,NA,NA,NA,NA,NA,"30","39","31"
3228,"climate106",266.004472970963,NA,NA,NA,NA,NA,260680,"30","39","31"
3122,"climate106",259.999990463257,NA,NA,NA,NA,NA,260680,"2","11","87"
3015,"climate106",259.999990463257,NA,NA,NA,NA,NA,260680,"2","11","87"
2909,"climate106",254.561960697174,NA,NA,NA,NA,NA,260680,"18","41","41"
2802,"climate106",254.095315933228,NA,NA,NA,NA,NA,260680,"18","41","41"
2695,"climate82",254.095315933228,NA,NA,NA,NA,NA,260680,"18","41","41"
2587,"climate82",232.825294137001,NA,NA,NA,NA,NA,NA,"30","39","31"
2483,"climate82",231.000006198883,NA,NA,NA,NA,NA,NA,"4","25","71"
31016,"climate774",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
31004,"climate774",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
30990,"climate774",219.999998807907,NA,NA,NA,NA,NA,NA,"6","38","56"
