"id","model.climate.tableName","model.site.soilDepth","model.site.pctSand","model.site.pctSilt","model.site.pctClay","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC"
28805,"climate749",133.000001311302,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,260680
28911,"climate760",225.999996066093,56,38,6,NA,NA,NA,NA,NA,NA
28806,"climate749",138.853549957275,41.7098541259766,40.7549514770508,17.535192489624,NA,NA,NA,NA,NA,260680
28701,"climate749",133.000001311302,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,260680
28593,"climate749",113.789170980453,78.754035949707,16.1413230895996,5.10464143753052,NA,NA,NA,NA,NA,260680
29016,"climate760",225.999996066093,56,38,6,NA,NA,NA,NA,NA,NA
28912,"climate758",225.999996066093,56,38,6,NA,NA,NA,NA,NA,NA
28807,"climate749",140.350103378296,41.9552574157715,40.7076416015625,17.3370990753174,NA,NA,NA,NA,NA,260680
28702,"climate749",133.000001311302,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,260680
28594,"climate722",128.687083721161,49.2820816040039,35.3725814819336,15.3453359603882,NA,NA,NA,NA,NA,260680
28486,"climate722",111.447647213936,83.3861694335938,13.1187286376953,3.49510264396667,NA,NA,NA,NA,NA,260680
29017,"climate760",46.0159182548523,11.4021739959717,7.73718976974487,1.2216614484787,NA,NA,NA,NA,NA,186886.5302
28913,"climate758",211.775258183479,52.475284576416,35.6082305908203,5.6223521232605,NA,NA,NA,NA,NA,NA
28808,"climate758",42.8014621138573,12.0672359466553,10.6802644729614,3.90765929222107,NA,NA,NA,NA,NA,NA
28703,"climate750",124.628804624081,38.1851387023926,38.3631820678711,17.157543182373,NA,NA,NA,NA,NA,260680
28595,"climate722",133.000001311302,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,260680
28487,"climate722",111.817769706249,82.6539840698242,13.5964994430542,3.74951720237732,NA,NA,NA,NA,NA,260680
29120,"climate765",225.999996066093,56,38,6,NA,NA,NA,NA,NA,NA
29018,"climate760",179.984077811241,44.5978240966797,30.262809753418,4.77833843231201,NA,NA,NA,NA,NA,NA
28914,"climate758",222.363203763962,55.0988464355469,37.3885040283203,5.9034481048584,NA,NA,NA,NA,NA,NA
28809,"climate758",183.620870113373,45.4989776611328,30.8743057250977,4.87489032745361,NA,NA,NA,NA,NA,NA
28704,"climate750",136.713311076164,41.0541076660156,40.0961456298828,17.2405471801758,NA,NA,NA,NA,NA,260680
28596,"climate722",133.000001311302,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,260680
28488,"climate722",111.817769706249,82.6539840698242,13.5964994430542,3.74951720237732,NA,NA,NA,NA,NA,260680
28377,"climate722",126.869305968285,52.8780975341797,33.0260848999023,14.0958194732666,NA,NA,NA,NA,NA,260680
29121,"climate765",46.0159182548523,11.4021739959717,7.73718976974487,1.2216614484787,NA,NA,NA,NA,NA,186886.5302
29019,"climate760",46.0159182548523,11.4021739959717,7.73718976974487,1.2216614484787,NA,NA,NA,NA,NA,186886.5302
28915,"climate758",46.0159182548523,11.4021739959717,7.73718976974487,1.2216614484787,NA,NA,NA,NA,NA,186886.5302
28810,"climate758",46.0159182548523,11.4021739959717,7.73718976974487,1.2216614484787,NA,NA,NA,NA,NA,186886.5302
28705,"climate750",194.33605670929,49.6156311035156,36.1595344543457,7.9307017326355,NA,NA,NA,NA,NA,107663.1111
28597,"climate750",138.853549957275,41.7098541259766,40.7549514770508,17.535192489624,NA,NA,NA,NA,NA,260680
28489,"climate722",128.687083721161,49.2820816040039,35.3725814819336,15.3453359603882,NA,NA,NA,NA,NA,260680
28378,"climate722",142.164707183838,52.6672744750977,38.3058891296387,9.02683544158936,NA,NA,NA,NA,NA,260680
28267,"climate722",90.5447825789452,63.9920196533203,28.792407989502,7.22290754318237,NA,NA,NA,NA,NA,NA
29122,"climate765",0,0,0,0,0,0,0,NA,0,0
29020,"climate760",0,0,0,0,0,0,0,NA,0,0
28916,"climate758",0,0,0,0,0,0,0,NA,0,0
28811,"climate758",0,0,0,0,0,0,0,NA,0,0
28706,"climate751",42.3791259527206,10.5010223388672,7.12569379806519,1.1251095533371,NA,NA,NA,NA,NA,186886.5302
28598,"climate750",126.125350594521,38.4305419921875,38.3158721923828,16.959451675415,NA,NA,NA,NA,NA,260680
28490,"climate722",168.20552945137,63.0321617126465,28.9774570465088,7.99771547317505,NA,NA,NA,NA,NA,NA
28379,"climate722",114.255122840405,67.8039703369141,27.3995800018311,4.80441045761108,NA,NA,NA,NA,NA,NA
28268,"climate722",166.275799274445,48.6043663024902,36.8076934814453,14.5904455184937,NA,NA,NA,NA,NA,176215
28158,"climate722",171.1595505476,46.9356803894043,37.6191177368164,15.4472398757935,NA,NA,NA,NA,NA,176215
29123,"climate760",0,0,0,0,0,0,0,NA,0,0
29021,"climate760",0,0,0,0,0,0,0,NA,0,0
28917,"climate758",0,0,0,0,0,0,0,NA,0,0
28812,"climate758",0,0,0,0,0,0,0,NA,0,0
28707,"climate751",0,0,0,0,0,0,0,NA,0,0
28599,"climate750",157.694086432457,59.8115539550781,25.7418308258057,6.55061483383179,NA,NA,NA,NA,NA,NA
28491,"climate722",180.22757768631,70.6411285400391,24.8924598693848,4.47625350952148,NA,NA,NA,NA,NA,NA
28380,"climate722",106.401704251766,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
28269,"climate722",188.412800431252,43.1510314941406,39.6509666442871,17.1987915039062,NA,NA,NA,NA,NA,176215
